conText v3.0.1 successfully loaded. Note this version of the package comes with significant changes to the conText() function.
                        See Quick Start Guide for help getting started and instructions for accessing older versions of the package:
 https://github.com/prodriguezsosa/conText/blob/master/vignettes/quickstart.md
Package version: 4.3.1
Unicode version: 15.1
ICU version: 74.2
Parallel computing: 2 of 2 threads used.
See https://quanteda.io for tutorials and examples.

Attaching package: 'dplyr'

The following objects are masked from 'package:stats':

    filter, lag

The following objects are masked from 'package:base':

    intersect, setdiff, setequal, union

Task 64 -> topic: 170
2721 instances of "wine" found.
2783 instances of "wine" found.
2948 instances of "wine" found.
3325 instances of "wine" found.
3022 instances of "wine" found.
3154 instances of "wine" found.
2847 instances of "wine" found.
3159 instances of "wine" found.
3134 instances of "wine" found.
3083 instances of "wine" found.
2790 instances of "wine" found.
2819 instances of "wine" found.
2941 instances of "wine" found.
2939 instances of "wine" found.
2863 instances of "wine" found.
2805 instances of "wine" found.
3145 instances of "wine" found.
3305 instances of "wine" found.
2663 instances of "wine" found.
3144 instances of "wine" found.
1405 instances of "beer" found.
1401 instances of "beer" found.
1479 instances of "beer" found.
1475 instances of "beer" found.
1470 instances of "beer" found.
1499 instances of "beer" found.
1404 instances of "beer" found.
1375 instances of "beer" found.
1590 instances of "beer" found.
1290 instances of "beer" found.
1391 instances of "beer" found.
1630 instances of "beer" found.
1645 instances of "beer" found.
1415 instances of "beer" found.
1481 instances of "beer" found.
1410 instances of "beer" found.
1470 instances of "beer" found.
1403 instances of "beer" found.
1431 instances of "beer" found.
1381 instances of "beer" found.
811 instances of "wines" found.
799 instances of "wines" found.
836 instances of "wines" found.
1053 instances of "wines" found.
902 instances of "wines" found.
887 instances of "wines" found.
796 instances of "wines" found.
987 instances of "wines" found.
1017 instances of "wines" found.
876 instances of "wines" found.
817 instances of "wines" found.
805 instances of "wines" found.
926 instances of "wines" found.
927 instances of "wines" found.
811 instances of "wines" found.
767 instances of "wines" found.
925 instances of "wines" found.
1036 instances of "wines" found.
829 instances of "wines" found.
971 instances of "wines" found.
924 instances of "bottle" found.
872 instances of "bottle" found.
846 instances of "bottle" found.
881 instances of "bottle" found.
842 instances of "bottle" found.
1028 instances of "bottle" found.
783 instances of "bottle" found.
928 instances of "bottle" found.
852 instances of "bottle" found.
851 instances of "bottle" found.
806 instances of "bottle" found.
758 instances of "bottle" found.
812 instances of "bottle" found.
934 instances of "bottle" found.
881 instances of "bottle" found.
816 instances of "bottle" found.
846 instances of "bottle" found.
958 instances of "bottle" found.
847 instances of "bottle" found.
841 instances of "bottle" found.
1299 instances of "drink" found.
1271 instances of "drink" found.
1267 instances of "drink" found.
1280 instances of "drink" found.
1251 instances of "drink" found.
1311 instances of "drink" found.
1262 instances of "drink" found.
1340 instances of "drink" found.
1345 instances of "drink" found.
1187 instances of "drink" found.
1364 instances of "drink" found.
1281 instances of "drink" found.
1276 instances of "drink" found.
1350 instances of "drink" found.
1282 instances of "drink" found.
1234 instances of "drink" found.
1269 instances of "drink" found.
1347 instances of "drink" found.
1357 instances of "drink" found.
1215 instances of "drink" found.
705 instances of "bottles" found.
613 instances of "bottles" found.
684 instances of "bottles" found.
666 instances of "bottles" found.
620 instances of "bottles" found.
700 instances of "bottles" found.
658 instances of "bottles" found.
673 instances of "bottles" found.
706 instances of "bottles" found.
625 instances of "bottles" found.
647 instances of "bottles" found.
603 instances of "bottles" found.
596 instances of "bottles" found.
756 instances of "bottles" found.
669 instances of "bottles" found.
598 instances of "bottles" found.
625 instances of "bottles" found.
680 instances of "bottles" found.
710 instances of "bottles" found.
649 instances of "bottles" found.
492 instances of "liquor" found.
471 instances of "liquor" found.
475 instances of "liquor" found.
559 instances of "liquor" found.
454 instances of "liquor" found.
581 instances of "liquor" found.
453 instances of "liquor" found.
458 instances of "liquor" found.
474 instances of "liquor" found.
444 instances of "liquor" found.
468 instances of "liquor" found.
453 instances of "liquor" found.
489 instances of "liquor" found.
504 instances of "liquor" found.
528 instances of "liquor" found.
427 instances of "liquor" found.
458 instances of "liquor" found.
468 instances of "liquor" found.
456 instances of "liquor" found.
524 instances of "liquor" found.
195 instances of "winery" found.
194 instances of "winery" found.
247 instances of "winery" found.
248 instances of "winery" found.
247 instances of "winery" found.
262 instances of "winery" found.
220 instances of "winery" found.
283 instances of "winery" found.
274 instances of "winery" found.
231 instances of "winery" found.
255 instances of "winery" found.
175 instances of "winery" found.
191 instances of "winery" found.
216 instances of "winery" found.
234 instances of "winery" found.
204 instances of "winery" found.
290 instances of "winery" found.
217 instances of "winery" found.
163 instances of "winery" found.
266 instances of "winery" found.
264 instances of "grapes" found.
295 instances of "grapes" found.
313 instances of "grapes" found.
325 instances of "grapes" found.
290 instances of "grapes" found.
309 instances of "grapes" found.
285 instances of "grapes" found.
312 instances of "grapes" found.
310 instances of "grapes" found.
342 instances of "grapes" found.
268 instances of "grapes" found.
307 instances of "grapes" found.
305 instances of "grapes" found.
358 instances of "grapes" found.
264 instances of "grapes" found.
302 instances of "grapes" found.
339 instances of "grapes" found.
272 instances of "grapes" found.
284 instances of "grapes" found.
271 instances of "grapes" found.
328 instances of "tasting" found.
282 instances of "tasting" found.
349 instances of "tasting" found.
306 instances of "tasting" found.
413 instances of "tasting" found.
292 instances of "tasting" found.
293 instances of "tasting" found.
365 instances of "tasting" found.
344 instances of "tasting" found.
313 instances of "tasting" found.
371 instances of "tasting" found.
334 instances of "tasting" found.
261 instances of "tasting" found.
419 instances of "tasting" found.
340 instances of "tasting" found.
261 instances of "tasting" found.
337 instances of "tasting" found.
344 instances of "tasting" found.
284 instances of "tasting" found.
341 instances of "tasting" found.
192 instances of "grape" found.
227 instances of "grape" found.
223 instances of "grape" found.
220 instances of "grape" found.
194 instances of "grape" found.
215 instances of "grape" found.
185 instances of "grape" found.
264 instances of "grape" found.
231 instances of "grape" found.
264 instances of "grape" found.
221 instances of "grape" found.
179 instances of "grape" found.
245 instances of "grape" found.
226 instances of "grape" found.
180 instances of "grape" found.
202 instances of "grape" found.
221 instances of "grape" found.
190 instances of "grape" found.
217 instances of "grape" found.
233 instances of "grape" found.
474 instances of "spirits" found.
444 instances of "spirits" found.
396 instances of "spirits" found.
430 instances of "spirits" found.
472 instances of "spirits" found.
514 instances of "spirits" found.
439 instances of "spirits" found.
447 instances of "spirits" found.
461 instances of "spirits" found.
480 instances of "spirits" found.
463 instances of "spirits" found.
477 instances of "spirits" found.
453 instances of "spirits" found.
463 instances of "spirits" found.
