"topic","term","beta","ratio","label","decision"
1,"business",0.150807246873364,44.6055407607105,"Business","keep"
1,"entrepreneurs",0.0046279951093866,160.733824490472,"Business","keep"
1,"small-businesses",0.00405406110484035,67.2676820149134,"Business","keep"
1,"entrepreneurship",0.00151483793321147,83.7629019524784,"Business","keep"
1,"small-business",0.00148005405414806,48.6481369223281,"Business","keep"
1,"entrepreneurial",0.00141048629602125,37.0214827960662,"Business","keep"
1,"sba",0.00109743138445056,292.260095048651,"Business","keep"
1,"small-business-owners",0.000871336170538402,59.0470603708889,"Business","keep"
2,"recession",0.00946664286071915,68.420268998888,"Economy","keep"
2,"unemployment",0.0053383892631398,100.765284404512,"Economy","keep"
2,"economic-growth",0.00288222007464865,50.0454761537967,"Economy","keep"
2,"stimulus",0.00227762458209698,72.5088557751242,"Economy","keep"
2,"gdp",0.00118179525184709,56.2621184398273,"Economy","keep"
2,"great-depression",0.000870050701000133,37.8232769133554,"Economy","drop"
2,"globalization",0.000832263482715654,56.6981602258537,"Economy","drop"
2,"economic-recovery",0.000822816678144534,31.4160631742512,"Economy","keep"
2,"stimulus-package",0.000643327391293258,48.7804203780644,"Economy","keep"
2,"economic-advisers",0.000624433782151019,33.2664910838883,"Economy","keep"
2,"recessions",0.00054885934558206,36.765163050458,"Economy","keep"
4,"religious",0.0187012734812226,247.56100832325,"Religion","keep"
4,"jewish",0.0149178272304336,94.3554987087319,"Religion","keep"
4,"christian",0.013612036046533,56.8781602105617,"Religion","keep"
4,"god",0.012239281212176,51.130190571644,"Religion","keep"
4,"religion",0.00924265785425027,145.517353491434,"Religion","keep"
4,"jews",0.00800383032080611,375.538029051493,"Religion","keep"
4,"muslim",0.00567684346744478,253.366742255188,"Religion","keep"
4,"bible",0.00460542506014173,70.6721449151472,"Religion","keep"
4,"rabbi",0.00405297494387609,896.80210500731,"Religion","keep"
4,"prayer",0.00400275220603376,34.7244457654648,"Religion","keep"
4,"muslims",0.00355074756545278,203.438282368914,"Religion","keep"
4,"jesus",0.00345030208976812,52.2103640073403,"Religion","keep"
4,"christians",0.00288111106088837,156.169916967532,"Religion","keep"
4,"islam",0.00274718375997549,106.788523180067,"Religion","keep"
4,"evangelical",0.00257977463383439,148.899483047219,"Religion","keep"
4,"muhammad",0.00256303372122028,73.1391426505517,"Religion","drop"
4,"synagogue",0.00222821546893807,127.40358626655,"Religion","keep"
